Station,Type,Date,Statutory,Final,Attained,Year,Final_f,local_imperv
S-933,MACROINVERTEBRATE,2009-08-11,C,"NA",No,2009,"NA",0.307
S-934,MACROINVERTEBRATE,2009-08-11,C,"NA",No,2009,"NA",0.307
S-303,MACROINVERTEBRATE,2010-08-11,A,B,No,2010,B,0.115
S-304,MACROINVERTEBRATE,2010-08-11,A,A,Yes,2010,A,0.081
S-795,MACROINVERTEBRATE,2010-08-13,C,"NA",No,2010,"NA",0.43
S-449,MACROINVERTEBRATE,2010-08-18,B,I,Indeterminate,2010,NA,0.026
S-155,MACROINVERTEBRATE,2010-08-19,B,B,Yes,2010,B,0.065
S-228,MACROINVERTEBRATE,2010-08-19,A,A,Yes,2010,A,0.032
S-394,MACROINVERTEBRATE,2010-08-19,B,B,Yes,2010,B,0.045
S-413,MACROINVERTEBRATE,2010-08-30,C,C,Yes,2010,C,0.136
S-796,MACROINVERTEBRATE,2010-08-30,B,I,Indeterminate,2010,NA,0.022
S-496,MACROINVERTEBRATE,2012-08-29,B,I,Indeterminate,2012,NA,0.179
S-448,MACROINVERTEBRATE,2013-08-08,B,B,Yes,2013,B,0.026
S-581,MACROINVERTEBRATE,2013-09-09,C,"NA",No,2013,"NA",0.576
S-1039,MACROINVERTEBRATE,2014-08-18,C,"NA",No,2014,"NA",0.307
S-1040,MACROINVERTEBRATE,2014-08-18,C,"NA",No,2014,"NA",0.173
S-931,MACROINVERTEBRATE,2014-09-15,C,"NA",No,2014,"NA",0.307
S-932,MACROINVERTEBRATE,2014-09-15,C,"NA",No,2014,"NA",0.307
S-1067,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1068,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1069,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1070,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1071,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1072,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1073,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1074,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-1075,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.037
S-1076,MACROINVERTEBRATE,2015-07-08,B,I,Indeterminate,2015,NA,0.094
S-143,MACROINVERTEBRATE,2015-08-05,B,C,No,2015,C,0.178
S-330,MACROINVERTEBRATE,2015-08-05,B,"NA",No,2015,"NA",0.178
S-457,MACROINVERTEBRATE,2015-08-05,B,C,No,2015,C,0.178
S-1064,MACROINVERTEBRATE,2015-08-05,B,"NA",No,2015,"NA",0.178
S-141,MACROINVERTEBRATE,2015-08-06,B,A,Yes,2015,A,0.046
S-142,MACROINVERTEBRATE,2015-08-06,B,A,Yes,2015,A,0.046
S-220,MACROINVERTEBRATE,2015-08-06,B,B,Yes,2015,B,0.073
S-317,MACROINVERTEBRATE,2015-08-06,B,A,Yes,2015,A,0.07
S-998,MACROINVERTEBRATE,2015-08-06,B,A,Yes,2015,A,0.026
S-70,MACROINVERTEBRATE,2015-08-10,B,A,Yes,2015,A,0.055
S-474,MACROINVERTEBRATE,2015-08-10,B,"NA",No,2015,"NA",0.043
